  Year  Digital  Title
  2018       no  future s tourism a case analysis with qualitative research in antalya region
  2018       no  managerial social networks affect on firm performance a research in five star hotels
  2014       no  cost management practices in the hospitality industry the case of the turkish hotel industry
  2019       no  psikolojik sozlesmenin orgutsel yaraticiliga etkisi afyonkarahisar daki bes yildizli otel isletmeleri ornegi
  2011       no  the scale of tourism s economic socio cultural and environmental effects on local people developing scale reliability and validity study
  2016       no  donusumcu ve etkilesimci liderligin orgutsel sessizlik uzerine etkisi otel isletmelerinde bir arastirma
  2004       no  dagcilik ve dag turizmindeki ikilem ekonomik yarar ve ekolojik bedel the dilemma of mountaineering and mountain tourism economic benefits and ecological costs
  2019       no  does tourism investment improve the energy efficiency in transportation and residential sectors evidence from the oecd economies
  2010       no  otel isletmeleri isgorenlerinin is doyum duzeyleri sayfiye ve şehir otel isletmeleri isgorenleri uzerinde bir arastirma
  2014       no  examining experiential qualities on the stage a study on leisure experience of salsa dancing
  2012       no  variety of urban tourism development trajectories antalya amsterdam and liverpool compared
  2012       no  kucuk konaklama isletmelerinde musteri iliskileri yonetimi alacati ornegi
  2015       no  turizmi degistiren 100 yenilik
  2015       no  sağlik turizminde devlet teşviklerinin tms 20 kapsaminda muhasebeleştirilmesi
  2016       no  residents tourism support behaviour the role of sustainable tourism attitude
  2005       no  stages in the emergence of a participatory tourism development approach in the developing world
  2021       no  turizm ve otel isletmeciligi bolumu onlisans ogrencilerinin tatil kavramina iliskin algilarinin metaforlar yardimiyla analizi
  2018       no  the value and scope of gis in marketing and tourism management
  2019       no  generational analysis of leisure time physical activity participation of women in turkey
  2017       no  factors affecting educational motivation in university a study of tourism education in antalya
  2012       no  gender differences on perceptions of employee quality of working life indicators in five star hotels in turkey
  2018       no  kesinligin genel merkezi ne dogru deneyimsel bir ust seyahat giorgio manganelli nin hindistani
  2017       no  iyi guzel ozgun yemeğin peşindeki yolculuk gastronomi
  2018       no  electrical resistivity structure at the north central turkey inferred from three dimensional magnetotellurics
  2014       no  calisanlarin orgutsel adalet algilamalarinin tukenmislik duzeyleri uzerindeki etkisi kemer deki bes yildizli otel isletmelerinde bir uygulama
  2014       no  interaction between finance tourism and advertising evidence from turkey
  2014       no  interaction between finance tourism and advertising evidence from turkey
  2018       no  walkability and design of tourist routes in old city centres for senior tourists the case of a historical peninsula in istanbul
  2019       no  impact of traditional equitation shows to tourism world wide and suggestions for utilising equestrian tourism in turkish tourism sector
  2021       no  bes yildizli otel isletmelerinde yetenek yonetimi uygulamalarinin is tatmini uzerindeki etkisi belek ornegi
  2017       no  the environmental impacts of tourism and recreation activities on kackar mountains national park rize turkey
  2020       no  4 th international tourism congress 16 19 october 2019 eskisehir turkey
  2020       no  assessment of gamma ray attenuation features for la 3 co doped zinc borotellurite glasses
  2021       no  country and destination image perception of mass tourists generation comparison
  2020       no  safranbolu da surdurulebilir turizm gelismesine yonelik yerel halkin tutumlari
  2016       no  compliance to smoke free legislation among istanbul hospitality premises in 2015
  2021       no  safeviler doneminde sema semah kronikler seyahatnâmeler ve minyaturlerde
  2019       no  the global dissemination of scholarly tourism outputs from 1976 to 2016 evidence from australia
  2020      YES  assessment of blockchain applications in travel and tourism industry
  2018       no  alternatif turizm ceşitlerinden inanc turizmi ve
  2019       no  exploring retraction in tourism and hospitality journals
  2021       no  competitiveness in medical tourism an evaluation on kocaeli medical tourism market
  2017       no  designing an effective organizational employee motivation system based on abcd model for hotel establishments
  2018       no  do food and beverage cost control measures increase hotel performance a case study in istanbul turkey
  2016       no  ekoturizm kapsaminda turistik urun cesitlendirmesi aydin ili sultanhisar ilcesi ornegi
  2019       no  toplum temelli turizm lavanta kokulu koy ornegi
  2020       no  inverting magnetotelluric data with distortion correction stability uniqueness and trade off with model structure
  2020       no  qr code applications in tourism
  2016       no  sentiment classification on turkish hotel reviews
  2012       no  inanc turizmi kapsaminda aziz pavlus evinin onemi ve tanitim faaliyetlerine iliskin ziyaretci goruslerinin degerlendirilmesi the importance of st paul s house within the scope of the religious tourism and evaluation of the visitors views related to the
  2020       no  a conceptual model of medical tourism service supply chain
  2010       no  buyuk olcekli otel isletmelerinin yiyecek icecek unitelerinde uretim dengesini bozan uretim kayiplarinin rapor edilmesi
  2016       no  turizm ve cevre iliskisinin ekonometrik bir analizi
  2011       no  assessment of world tourism from a geographical perspective and a comparative view of leading destinations in the market
  2016       no  technical climate change adaptation options of the major ski resorts in bulgaria
  2009       no  asperity along the north anatolian fault imaged by magnetotellurics at duzce turkey
  2018       no  does team psychological capital moderate the relationship between authentic leadership and negative outcomes an investigation in the hospitality industry
  2010       no  a model proposal on the use of creative tourism experiences in congress tourism and the congress marketing mix
  2019       no  vulnerable geosites of cayirbagi calkoy duzkoy trabzon in the eastern black sea region of ne turkey and their geotourism potential
  2021       no  an impact study of covid 19 on six different industries automobile energy and power agriculture education travel and tourism and consumer electronics
  2020       no  the interplay between socioemotional wealth and family firm psychological capital in influencing firm performance in hospitality and tourism
  2016       no  antalya daki paydaşlar acisindan sağlik turizminin kamu politikasi perspektifinde değerlendirilmesi
  2017       no  examination of urban hotels online review site performance with a comparative approach based on tripadvisor and booking
  2003       no  finansal kiralama leasing ve turizm isletmelerinde uygulanmasi the application of leasing in tourism industry
  2021      YES  gen z tourists and smart devices
  2012       no  şehirlerin turistik markalasmasinda kalkinma ajanslarinin rolu bolge planlari uzerine bir dokuman incelemesi
  2016       no  turkiye de turizm ve ticari aciklik arasindaki ilişki toda ve yamamoto nedensellik yaklaşimi 1 the relationship between tourism and trade openness in turkey toda and yamamoto causality approach
  2017       no  understanding the impact of turkish tv series on inbound tourists a case of saudi arabia and bulgaria
  2010       no  the tourism sector at creating employment and the effects of 2008 global crisis on turkey s tourism employment
  2010       no  mass tourism development and deforestation in turkey
  2015       no  revisiting the environmental kuznets curve hypothesis in a tourism development context
  2015       no  internship satisfaction of students of hospitality and impact of internship on the professional development and industrial perception
  2021       no  new practices in the tourism sector during covid 19
  2019       no  opinions of the workers in the hotel kitchens of cappadocia region on kitchen hygiene situations
  2021       no  mali tablolarin dikey yuzdeler yontemi ile analizi bist turizm sektorunde bir uygulama 2019
  2016       no  gaziantep ilinin turizm acisindan swot analizi ve turizmin gelistirmesine yonelik oneriler
  2012       no  isgoren seciminde ve orgut ici is yasaminda siyasi ayrimcilik otel isletmelerinde bir arastirma
  2017       no  turizm cografyasi dersine iliskin gelecek zaman perspektifinin ders basarisina etkisi
  2020       no  kultur ve inanc turizmi kapsaminda ziyaretcilerin seyahat profillerinin incelenmesi sille ornegi
  2016       no  destinasyon markalasmasinda yerel simgelerin logo ve amblemlerde kullanilmasi mugla arastirmasi
  2014       no  a conceptual study on the effect of learning tourism regions on city marketing
  2009       no  exterior color and perceived retail crowding effects on tourists shopping quality inferences and approach behaviors
  2014       no  corrigendum to a hybrid multi criteria decision making model to evaluate hotel websites int j hosp manag 36 2014 263 271
  2002       no  the hospitality industry culture profile a measure of individual values organizational culture and person organization fit as predictors of job satisfaction and behavioral intentions
  2012       no  the role of travel intermediaries in the development of sustainable mountain tourism the case of turkey
  2021       no  bisiklet turizmi baglaminda bisiklet dostu şehir uygulamalarina yonelik bir arastirma twitter ornegi
  2016       no  turizm sektorundeki işletmelerinin etkinliklerinin veri zarflama analizi ile olculmesi
  2012       no  residents attitudes toward tourism development a structural model via akcakoca sample
  2020       no  kalkinma planlarinda turizm icerik analizi yontemi ile turkiye kalkinma planlarinin analizi
  2019       no  travel motivations of iranian tourists to turkey and their satisfaction level with all inclusive package tours
  2013       no  tourism energy consumption and climate change in oecd countries
  2020       no  strategy implementation research in hospitality and tourism current status and future potential
  2021       no  every storm will pass examining expat s host country destination image cultural intelligence and renewed destination loyalty in covid 19 tourism
  2021       no  a bibliometric profile of the tourism economics sub field in turkish academic community
  2021       no  financial impacts of covid 19 on tourism evidence from some listed companies
  2015       no  the effects of person organization fit on job performance and intention to remain in hospitality business
  2021       no  which construct is better at explaining residents involvement in tourism emotional solidarity or empowerment
  2006       no  performance measurement in tourism a value chain model
  2017       no  the relationship between leisure satisfaction and life satisfaction in food and beverage establishments
  2018       no  kadin girisimciler ve turizm mevcut durum ve sorunlar uzerine sinop ilinde bir arastirma
  2012       no  ekolojik tatil ciftliklerinin tatuta projesi deneyimine iliskin ornek olay incelemesi
  2012       no  intravenoz anesteziklerin vaskuler endotel uzerine etkileri
  2020       no  otel isletmelerinde gida israfina yonelik davranislarin isletme karliligina etkisi eskisehir ornegi
  2021       no  el sanatlarinin turizme katkisi mevcut durumu sorunlari ve cozum onerileri uzerinde sinop orneginde bir arastirma
  2016       no  competitive intelligence practices in hotels
  2013       no  devotion hospitality and architecture in medieval anatolia
  2002       no  a comparison of tourist evaluation of beaches in malta romania and turkey
  2015       no  seyahat acentelerinin e hizmet uygulamalarinin kalitesinin olcumu bir model onerisi
  2008       no  the assessment of greece s image as a tourism destination
  2006       no  turkiye de turizm gelirlerinin ekonomik buyumeye etkisinin testi yapisal kirilma ve nedensellik analizi
  2019       no  the mediating role of mobbing in the relationship between personal value and depression a case study of hospitality employees
  2020       no  antimicrobial susceptibility profiles of prevotella species determined by gradient test method in two centers in istanbul
  2018       no  cultural heritage conservation and culture led tourism conflict within the historic site in beyoğlu istanbul
  2012       no  social impact of sustainable ecotourism cases from turkey
  2014       no  a hybrid multi criteria decision making model to evaluate hotel websites
  2021       no  yerel halkin festival turizmine yonelik algilarinin degerlendirilmesi uluslararasi kahramanmaras dondurma ve kultur sanat festivali ornegi
  2021       no  a comparative study oriented tourism advertisements in turkey the internality of the oriental self
  2019       no  what does being an aristotelian really mean
  2017      YES  iot for hospitality industry paperless buffet management
  2015       no  study of the relationship between leisure time activities and assertiveness levels of students of abant izzet baysal university
  2009       no  images of italy france and morocco as tourist destinations
  2015       no  2000 li yillarda turkiye icin turizm yanli buyume hipotezinin analizi
  2015       no  turistlerin tatil donemlerinde sergiledikleri liminoid davranislar
  2021       no  economic impacts of the pandemic on the tourism of the developing world the case of covid 19
  2017       no  health tourism based destination marketing
  2020       no  a case study for identification of organic silt bottom sediments in an artificial lake formed in gravel alluvium in the geotourism locality of slnecne jazera in senec bratislava slovakia
  2013       no  how do hotels state their missions evidence from an emerging country
  2021       no  the effect of place personality on resident welcoming tourist through positive and negative impacts of tourism
  2020       no  hotel employees corporate social responsibility perception and organizational citizenship behavior perceived external prestige and pride in organization as serial mediators
  2015       no  konaklama işletmelerinde mobbing orgutsel guven ilişkisi canakkale ilinde bir araştirma
  2016       no  sustainable environment in tourism policies the case of turkey
  2020       no  effects of congruence between individuals and hotel commercials construal levels on purchase intentions
  2007       no  comparison of arima neural networks and hybrid models in time series tourist arrival forecasting
  2013       no  architectural innovations are competitive advantage for hotels in tourism industry what customers managers and employees think about it
  2006       no  the impact of technology in hotels a case study of istanbul and ankara hotels
  2014       no  turizm isletmelerinde tutundurma faaliyetlerinin belirlenmesine yonelik bodrum yoresinde bir arastirma evaluating the promotion activities employed by tourism firms in bodrum region
  2017       no  yerel halk tutumlarinin kirsal turizme etkisi pazar ilcesi ornegi
  2019       no  analysis of the relationship between the academic self efficacy and leisure satisfaction levels of university students
  2020       no  antalya da yer alan konaklama tesisleri yoneticilerinin covid 19 kapsaminda alinabilecek tedbirler uzerine gorusleri
  2015       no  a causality analysis of tourism revenues and economic growth on selected mediterranean countries
  2018       no  heterogeneity in the determinants of length of stay across middle age and senior age groups in thermal tourism
  2015       no  turizm potansiyeli olan bolgelerde toplumsal kapasite algisi adiyaman orneği
  2017       no  izmir medikal turizm kumelenme potansiyeli
  2016       no  turizm işletmelerinde insan kaynaklari yonetimi işlevi olarak koruma ve geliştirme kapsamindaki sorunlar kavramsal bir değerlendirme
  2007       no  the projects of turkiye in the 2023 for cruise tourism
  2007       no  labor transformation through the prism of the household evidence from the turkish tourism industry
  2013       no  self congruity influence on tourist behavior repeat visitors versus non visitors and first time visitors
  2013       no  impact of strategy on efficiency in the luxury hotel industry of turkey
  2019       no  positive tourism edited by sebastian filep jennifer laing and mihaly csikszentmihalyi oxon uk routledge 2017 218 pp us 102 hardcover isbn 13 978 1 13890 065 3
  2012       no  understanding the past managing the future remotely sensed analysis of the urban sprawl of istanbul for supporting decision making for a sustainable future
  2016       no  goller bolgesindeki yerel halkin sosyo demografik ozelliklerinin turizm aliskanliklari uzerindeki etkisi socio demographic factors of local people in the lakes region and its investigation of holiday habits
  2019       no  burnout on employees organizational commitment five star hotel employees
  2019       no  a qualitative method to determine problems in tourism sector focus group interviews
  2020       no  leisure and scuba diving safety tips during and after covid 19
  2020       no  covid 19 technology social connections loneliness and leisure activities an international study protocol
  2020       no  the effect of the festivals on the development of tourism with the support of residents the case study of zeytinli rockfest in edremit
  2012       no  bats and tourism a response to paksuz ozkan
  2012       no  assessment of urban heat islands using remotely sensed data
  2015       no  leisure experience tagged on facebook the influence of facebook experiences on satisfaction
  2020       no  dissatisfaction with life and absence of leisure time activity clues to overt depression and occult suicide risk in elderly individuals without significant disabling disease
  2013       no  electrical characterization of the north anatolian fault zone underneath the marmara sea turkey by ocean bottom magnetotellurics
  2012       no  economic impact of religious tourism in mardin turkey
  2015       no  otel isletmelerinin is cevresi ozelliklerinin kurum kulturu turleri uzerindeki etkisi
  2021       no  how do residents perceive tourism development a small community perspective
  2015       no  privacy of personal information in tourism sector turizm sektorunde kisisel bilgilerin mahremiyeti
  2014       no  cge assessment of tourism policies in turkey
  2016       no  muslim friendly tourism mft a discussion
  2016       no  ingiliz gezgin edwin john davis in seyahatnamesine gore xix yuzyilin son ceyreğinde adana ve cevresi
  2013       no  undergraduate students and academicians views on internship process in tourism education a research in btioyo lisans duzeyinde turizm egitimindeki staj uygulamasina ogrenci ve akademisyenlerin bakislari btioyo da uygulama
  2015       no  gastronomi turizmi ve turkiye yi ziyaret eden yabanci turistlerin gastronomi deneyimlerinin degerlendirilmesi
  2014       no  nis niche pazarlama ve hatay turizmine yonelik nis pazarlama stratejilerinin belirlenmesi niche marketing and defining niche marketing strategies towards tourism in hatay
  2019       no  are pulmonologists well aware of planning safe air travel for patients with copd the safcop study
  2006       no  ethical ideologies of tourism marketers
  2010       no  unsupervised classification of remotely sensed images via independent component analysis
  2020       no  healthcare service provider type selection of the medical tourists by using neutrosophic sets
  2014       no  the benefits risks and effects on performance of the outsourcing a comparative study of seasonal and permanent hotels
  2020       no  regression kriging to improve basal area and growing stock volume estimation based on remotely sensed data terrain indices and forest inventory of black pine forests
  2021       no  bridging eastern and non eastern turkey a study on the effectiveness of a tourism based intervention
  2016       no  gastronomi eğitiminde gec mi kalindi acele mi ediliyor
  2019       no  the prioritization of natural historical based ecotourism strategies with multiple criteria decision analysis in ancient unesco city iznik bursa case
  2015       no  the role of servicescape and image perceptions of customers on behavioral intentions in the hotel industry
  2016       no  the use of green star certificates as a marketing tool on hotel websites
  2010       no  telemedicine and biotelemetry for e health systems theory and applications
  2020       no  gastrotourism according to the 24 solar terms regimen
  2021       no  case study as a research method in hospitality and tourism research a systematic literature review 1974 2020
  2006       no  gap analysis in customer loyalty a research in 5 star hotels in the antalya region of turkey
  2020       no  effects of participation on place attachment in diaspora tourism of circassians living in turkey
  2018       no  related variety and innovation evidence from the tourism industry
  2017       no  image and tourist discourses turkey seen by advertisements
  2012       no  ministers statements a policy implementation instrument for sustainable tourism
  2015       no  faith tourism potential of konya in terms of christian sacred sites
  2013       no  impacts of exported turkish soap operas and visa free entry on inbound tourism to turkey
  2013       no  alanya daki otel isletmelerinin dis kaynak kullanimina yonelik tutumlarinin incelenmesi
  2008       no  an econometric model of tourism demand and room rates a study in belek antalya
  2009       no  work engagement among hotel managers in beijing china potential antecedents and consequences
  2017       no  kriz yonetimi uygulamalari uluslararasi bir otelin kriz yonetim planinin analizi
  2010       no  the effects of perceived organisational support on employees affective outcomes evidence from the hotel industry
  2010       no  the effects of perceived organisational support on employees affective outcomes evidence from the hotel industry
  2015       no  macro economic determinants of travel and leisure sector a co integration analysis from turkey
  2012       no  unlocking the potential of religious tourism in turkey
  2017      YES  sanal gerceklik uygulamalarinin destinasyon pazarlamasinda kullanilmasina yonelik kavramsal bir calisma a conceptual study on the use of virtual reality applications in destination marketing
  2020       no  the causal relationships between international trade and international tourism in nafta countries applications of time and frequency domain approaches
  2021       no  post covid 19 chinese domestic tourism market recovery potential influence of traditional chinese medicine on tourist behaviour
  2016       no  toplu tasimada en az aktarma kriterine gore seyahat planlama icin matematiksel model
  2010       no  web based destination marketing do official city culture and tourism websites in turkey consider international guidelines
  2016       no  history of tourism development in turkey
  2020       no  challenges and opportunities that the covid pandemic brings to rural tourism a case of trilye bursa
  2014       no  turđstđk destđnasyon đmajinin pazar bolumlerđ algilamalari arasindakđ farkliliklara yonelđk bđr aratirma a research on the differences between perceptions of market segments in touristic destination images
  2021       no  investigation of the optical mechanical and radiation shielding features for strontium borotellurite glass system fabrication characterization and epics2017 computations
  2016       no  explaining destination choices based upon recreational opportunities through intrinsic and extrinsic travel motivations rekreasyonel olanaklara dayali yapilan destinasyon tercihlerinin icsel ve dissal seyahat motivasyonlariyla aciklanmasi
  2017       no  duygusal emek tukenmislik ve isten ayrilma niyeti arasindaki iliski otel isletmesi calisanlari uzerine bir arastirma
  2018       no  motivations of event tourism participants and behavioural intentions
  2016       no  leisure times of their children from mother s percpective the effect of rural and urban life anne perspektifinden cocuklarinin serbest zamanlari kirsal ve kentsel yasamin etkisi
  2019       no  career development in tourism industry
  2021       no  spatial panel data analysis of the relationship between tourism and income inequality
  2008       no  the differences between the usage of information technologies in city and resort hotel establishments the case of turkey
  2020       no  otel isletmelerinde calisan yoneticilerin stajyer kavramina iliskin algilarina yonelik metafor analizi
  2011       no  the impact of employee motivation on emotional commitment research undertaken in a five star hotel
  2012       no  determining of college students trends about tourism sector a case study at akdeniz university
  2016       no  usage of e loyalty programs in hospitality industry
  2019       no  investigation of recreation wear to athleisure wear process in the different market segmentation
  2020       no  destinasyon askinin destinasyon sadakati uzerindeki etkisi bozcaada ornegi
  2021       no  surviving a major crisis the case of dismissed tourism and hospitality employees
  2019       no  comparing identification of clinically relevant prevotella species by vitek ms and maldi biotyper
  2017       no  achieving sustainable buildings via energy efficiency retrofit case study of a hotel building
  2019       no  neoliberal collaboration of tourism academia and industry the case of destination governance
  2020       no  hizmet ortami musteri memnuniyeti ve tekrar ziyaret etme niyeti iliskisi resort otellerde bir arastirma
  2010       no  customer profitability analysis with time driven activity based costing a case study in a hotel
  2009       no  filmlerin ve televizyon dizilerinin destinasyon imajina etkileri
  2013       no  effects of information technologies over decision making process about cost controlling at food and beverage departments at five star hotels
  2017       no  investigation of disability level leisure satisfaction and quality of life in disabled employees
  2013       no  mobility creating context for tourism
  2003       no  niche overlap competition and homogeneity in the organizational clusters of hotel population
  2018       no  tourism demand analysis the impact of the economic policy uncertainty on the arrival of japanese tourists to the usa
  2016       no  turizm perspektifinden yabancilasmanin sosyo psikolojik analizi gunluk yasamdan turistik yasama yabancilasma dongusu
  2021       no  origins evolution and themes of scholarly hospitality sources 1960 2019
  2020       no  examining the asymmetric effects of globalization and tourism on pollution emissions in south asia
  2016       no  accessibility of hotels for people with visual impairments from research to practice
  2021       no  the effects of globalization and terrorism on tourist arrivals to turkey
  2018       no  babelfy based extraction of collocations from turkish hotel reviews
  2018       no  sustainable urban tourism success factors and the economic performance of small tourism enterprises
  2013       no  current trends in developing urban tourism
  2016       no  determination of communication and problem solving skills of students of tourist guiding department turizm rehberligi bolumu ogrencilerinin iletisim ve problem cozme becerilerinin belirlenmesi
  2020       no  a quality measurement proposal for corporate social network sites the case of hotel facebook page
  2020       no  12th congress wfitn 9th to 14th november 2013 hotel hilton buenos aires argentina
  2015       no  differences in service quality perceptions of stakeholders in the hotel industry
  2020      YES  an integrated fuzzy best worst topsis method for evaluation of hotel website and digital solutions provider firms
  2019       no  turistik destinasyon yonetiminde paydaslar arasi iliskiler goller yoresi ornegi
  2016       no  components of cultural tourists experiences in destinations
  2021       no  applying industry 4 0 on management of gastronomy events
  2020       no  akilli turizm arac ve uygulamalarina iliskin turizm isletmesi yoneticilerinin gorusleri eskisehir uzerine nitel bir arastirma
  2014       no  measuring food and beverage service quality in spa hotels a case study in balikesir turkey
